被 O
告 O
人 O
弓 O
× O
, O
男 O
, O
3 O
6 O
岁 O
( O
1 O
9 O
7 O
7 O
年 O
1 O
2 O
月 O
1 O
2 O
日 O
出 O
生 O
) O
。 O

因 O
涉 O
嫌 O
犯 O
危 B-CL
险 I-CL
驾 I-CL
驶 I-CL
罪 I-CL
, O
于 O
2 O
0 O
1 O
4 O
年 O
2 O
月 O
4 O
日 O
被 O
北 O
京 O
市 O
延 O
庆 O
县 O
公 O
安 O
局 O
羁 O
押 O
, O
次 O
日 O
被 O
刑 O
事 O
拘 B-CL
留 I-CL
, O
现 O
羁 O
押 O
于 O
北 O
京 O
市 O
延 O
庆 O
县 O
看 O
守 O
所 O
。 O

北 O
京 O
市 O
延 O
庆 O
县 O
人 O
⺠ O
检 O
察 O
院 O
以 O
京 O
延 O
检 O
公 O
诉 O
刑 O
诉 O
( O
2 O
0 O
1 O
4 O
) O
5 O
2 O
号 O
起 O
诉 O
书 O
指 O
控 O
被 O
告 O
人 O
弓 O
× O
犯 O
危 B-CL
险 I-CL
驾 I-CL
驶 I-CL
罪 I-CL
, O
于 O
2 O
0 O
1 O
4 O
年 O
2 O
月 O
2 O
4 O
日 O
向 O
本 O
院 O
提 O
起 O
公 O
诉 O
, O
本 O
院 O
依 O
法 O
适 O
用 O
简 O
易 O
程 O
序 O
, O
实 O
行 O
独 O
任 O
审 O
判 O
, O
公 O
开 O
开 O
庭 O
审 O
理 O
了 O
本 O
案 O
。 O

北 O
京 O
市 O
延 O
庆 O
县 O
人 O
⺠ O
检 O
察 O
院 O
指 O
派 O
检 O
察 O
员 O
曹 O
兴 O
轶 O
出 O
庭 O
支 O
持 O
公 O
诉 O
。 O

被 O
告 O
人 O
弓 O
× O
到 O
庭 O
参 O
加 O
诉 O
讼 O
, O
现 O
已 O
审 O
理 O
终 O
结 O
。 O

北 O
京 O
市 O
延 O
庆 O
县 O
人 O
⺠ O
检 O
察 O
院 O
指 O
控 O
, O
2 O
0 O
1 O
4 O
年 O
2 O
月 O
4 O
日 O
2 O
0 O
时 O
许 O
, O
被 O
告 O
人 O
弓 O
× O
酒 O
后 O
驾 O
驶 O
× O
× O
牌 O
小 O
型 O
轿 O
⻋ O
, O
由 O
东 O
向 O
西 O
行 O
驶 O
至 O
延 O
庆 O
县 O
旧 O
小 O
路 O
8 O
. O
8 O
公 O
里 O
处 O
时 O
, O
其 O
⻋ O
前 O
部 O
与 O
前 O
方 O
同 O
向 O
暂 O
停 O
的 O
白 O
× O
驾 O
驶 O
的 O
小 O
轿 O
⻋ O
尾 O
部 O
相 O
撞 O
, O
后 O
白 O
⻋ O
前 O
部 O
又 O
与 O
前 O
方 O
同 O
向 O
暂 O
停 O
的 O
陈 O
× O
驾 O
驶 O
的 O
小 O
轿 O
⻋ O
尾 O
部 O
相 O
撞 O
, O
后 O
陈 O
× O
⻋ O
前 O
部 O
又 O
与 O
前 O
方 O
同 O
向 O
暂 O
停 O
的 O
小 O
客 O
⻋ O
尾 O
部 O
相 O
撞 O
, O
造 O
成 O
三 O
辆 O
小 O
轿 O
⻋ O
不 O
同 O
程 O
度 O
受 O
损 O
。 O

事 O
故 O
发 O
生 O
后 O
, O
被 O
告 O
人 O
弓 O
× O
欲 O
逃 O
离 O
现 O
场 O
, O
被 O
白 O
× O
、 O
陈 O
× O
抓 O
获 O
。 O

经 O
北 O
京 O
市 O
延 O
庆 O
县 O
公 O
安 O
局 O
交 O
通 O
大 O
队 O
认 O
定 O
, O
被 O
告 O
人 O
弓 O
× O
负 O
此 O
次 O
事 O
故 O
的 O
全 O
部 O
责 O
任 O
。 O

经 O
北 O
京 O
市 O
公 O
安 O
交 O
通 O
司 O
法 O
鉴 O
定 O
中 O
心 O
鉴 O
定 O
, O
被 O
告 O
人 O
弓 O
× O
血 O
液 O
中 O
酒 O
精 O
含 O
量 O
为 O
. O
m O
g O
∕ O
m O
l O
, O
属 O
醉 O
酒 O
驾 O
驶 O
。 O

上 O
述 O
事 O
实 O
, O
被 O
告 O
人 O
弓 O
× O
在 O
开 O
庭 O
审 O
理 O
过 O
程 O
中 O
没 O
有 O
异 O
议 O
, O
且 O
有 O
证 O
人 O
白 O
× O
、 O
陈 O
× O
、 O
孙 O
× O
、 O
王 O
× O
的 O
证 O
言 O
, O
当 O
事 O
人 O
血 O
样 O
提 O
取 O
登 O
记 O
表 O
, O
呼 O
气 O
酒 O
精 O
含 O
量 O
检 O
测 O
结 O
果 O
, O
北 O
京 O
市 O
公 O
安 O
交 O
通 O
司 O
法 O
鉴 O
定 O
中 O
心 O
出 O
具 O
的 O
酒 O
精 O
检 O
验 O
报 O
告 O
, O
北 O
京 O
市 O
公 O
安 O
交 O
通 O
管 O
理 O
局 O
简 O
易 O
程 O
序 O
处 O
理 O
交 O
通 O
事 O
故 O
认 O
定 O
书 O
, O
北 O
京 O
市 O
延 O
庆 O
县 O
公 O
安 O
局 O
交 O
通 O
大 O
队 O
出 O
具 O
的 O
情 O
况 O
说 O
明 O
, O
机 O
动 O
⻋ O
行 O
驶 O
证 O
复 O
印 O
件 O
, O
物 O
证 O
照 O
片 O
, O
戶 O
籍 O
证 O
明 O
, O
案 O
件 O
来 O
源 O
, O
到 O
案 O
经 O
过 O
等 O
证 O
据 O
证 O
实 O
, O
足 O
以 O
认 O
定 O
。 O

本 O
院 O
认 O
为 O
, O
被 O
告 O
人 O
弓 O
× O
无 O
视 O
法 O
律 O
规 O
定 O
, O
醉 O
酒 O
后 O
驾 O
驶 O
机 O
动 O
⻋ O
在 O
道 O
路 O
上 O
行 O
驶 O
, O
并 O
发 O
生 O
交 O
通 O
事 O
故 O
, O
其 O
行 O
为 O
已 O
构 O
成 O
危 B-CL
险 I-CL
驾 I-CL
驶 I-CL
罪 I-CL
, O
应 O
予 O
刑 O
罚 O
处 O
罚 O
。 O

北 O
京 O
市 O
延 O
庆 O
县 O
人 O
⺠ O
检 O
察 O
院 O
指 O
控 O
被 O
告 O
人 O
弓 O
× O
犯 O
危 B-CL
险 I-CL
驾 I-CL
驶 I-CL
罪 I-CL
的 O
事 O
实 O
清 O
楚 O
, O
证 O
据 O
确 O
实 O
、 O
充 O
分 O
, O
指 O
控 O
的 O
罪 O
名 O
成 O
立 O
。 O

案 O
发 O
后 O
, O
被 O
告 O
人 O
弓 O
× O
欲 O
逃 O
离 O
现 O
场 O
, O
酌 O
予 O
从 B-CL
重 I-CL
处 I-CL
罚 I-CL
。 O

鉴 O
于 O
被 O
告 O
人 O
弓 O
× O
到 O
案 O
后 O
, O
如 O
实 O
供 O
述 O
了 O
自 O
己 O
的 O
犯 O
罪 O
事 O
实 O
, O
且 O
认 O
罪 O
态 O
度 O
较 O
好 O
, O
酌 O
予 O
从 B-CL
轻 I-CL
处 I-CL
罚 I-CL
。 O

据 O
此 O
, O
本 O
院 O
根 O
据 O
被 O
告 O
人 O
弓 O
× O
的 O
犯 O
罪 O
事 O
实 O
、 O
犯 O
罪 O
情 O
节 O
和 O
对 O
社 O
会 O
的 O
危 O
害 O
程 O
度 O
, O
依 O
照 O
《 O
中 O
华 O
人 O
⺠ O
共 O
和 O
国 O
刑 O
法 O
》 O
第 O
一 O
百 O
三 O
十 O
三 O
条 O
之 O
一 O
, O
第 O
六 O
十 O
七 O
条 O
第 O
三 O
款 O
, O
第 O
五 O
十 O
二 O
条 O
, O
第 O
五 O
十 O
三 O
条 O
, O
第 O
六 O
十 O
一 O
条 O
的 O
规 O
定 O
, O
判 O
决 O
如 O
下 O
: O
被 O
告 O
人 O
弓 O
× O
犯 O
危 B-CL
险 I-CL
驾 I-CL
驶 I-CL
罪 I-CL
, O
判 O
处 O
拘 O
役 O
二 O
个 O
月 O
二 O
十 O
天 O
, O
并 O
处 O
罚 B-CL
金 I-CL
人 O
⺠ O
币 O
三 O
千 O
元 O
( O
刑 O
期 O
从 O
判 O
决 O
执 O
行 O
之 O
日 O
起 O
计 O
算 O
。 O

判 O
决 O
执 O
行 O
以 O
前 O
先 O
行 O
羁 O
押 O
的 O
, O
羁 O
押 O
一 O
日 O
折 O
抵 O
刑 O
期 O
一 O
日 O
, O
即 O
自 O
2 O
0 O
1 O
4 O
年 O
2 O
月 O
4 O
日 O
起 O
至 O
2 O
0 O
1 O
4 O
年 O
4 O
月 O
2 O
3 O
日 O
止 O
; O
罚 B-CL
金 I-CL
已 O
缴 O
纳 O
) O
。 O

如 O
不 O
服 O
本 O
判 O
决 O
, O
可 O
在 O
接 O
到 O
判 O
决 O
书 O
的 O
第 O
二 O
日 O
起 O
十 O
日 O
内 O
, O
通 O
过 O
本 O
院 O
或 O
者 O
直 O
接 O
向 O
北 O
京 O
市 O
第 O
一 O
中 O
级 O
人 O
⺠ O
法 O
院 O
提 O
出 O
上 O
诉 O
。 O

书 O
面 O
上 O
诉 O
的 O
, O
应 O
当 O
提 O
交 O
上 O
诉 O
状 O
正 O
本 O
一 O
份 O
, O
副 O
本 O
二 O
份 O
。 O

被 O
告 O
人 O
栾 O
× O
( O
曾 O
用 O
